66.249.66.92 - - [18/Feb/2022:02:27:26 -0800] "GET /ads.txt HTTP/1.1" 404 328 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
59.56.205.226 - - [18/Feb/2022:02:44:36 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 0 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:36 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 200 0 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:36 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 78408 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:36 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 206 78408 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:36 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:36 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 78408 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:36 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 206 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:36 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:36 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:37 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 200 0 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:37 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 75504 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:37 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 206 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:37 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:37 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 78408 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:37 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 206 75504 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:37 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 0 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:37 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 200 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:37 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 78408 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:38 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:38 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:38 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 200 78408 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:38 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:38 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:39 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 206 75504 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:39 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:39 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 206 75504 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:39 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 200 78408 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:39 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 78408 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:39 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 200 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:39 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:39 -0800] "GET /maccdc2012/ssh.log.gz HTTP/1.1" 200 0 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:39 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 206 78408 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:39 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:39 -0800] "GET /maccdc2012/ssh.log.gz HTTP/1.1" 206 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:40 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 72600 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:40 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 78408 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:40 -0800] "GET /maccdc2012/ssh.log.gz HTTP/1.1" 206 0 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:40 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 200 72600 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:40 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 0 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:40 -0800] "GET /maccdc2012/ssh.log.gz HTTP/1.1" 200 75504 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:40 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 200 0 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:40 -0800] "GET /maccdc2012/ssh.log.gz HTTP/1.1" 200 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:40 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:41 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:41 -0800] "GET /maccdc2012/ssh.log.gz HTTP/1.1" 206 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:41 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:41 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 206 0 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:41 -0800] "GET /maccdc2012/ssh.log.gz HTTP/1.1" 206 0 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:41 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:41 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:41 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
